cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
112,0.057,0.051,0.049,0.001,0.06,0.026,0.093,0.329,0.049,0,0.471,0.124817,-0.082703,0.706177,-0.368805,0.124817,0.663,stroke,0.157,0.049,0.229,0.329,0.558
27,0.053,0.053,0.048,0.001,0.059,0.025,0.07,0.154,0.031,0,0.255,0.131226,-0.075226,0.59906,-0.333557,0.099945,0.683,stroke,0.154,0.048,0.203,0.154,0.34
13,0.034,0.059,0.054,0.002,0.037,0.033,0.016,0.021,0.199,0,0.236,0.07843,-0.026703,1.28616,-0.326538,0.337219,1.222,stroke,0.147,0.054,0.142,0.021,0.308
0.031,0.049,0.026,0.001,0.059,0.034,0.011,0.021,0.2,0,0.232,0.110092,-0.052751,1.37169,-0.384346,0.244672,0.833,normal,0.106,0.026,0.131,0.021,0.326,
0.03,0.074,0.063,0.018,0.024,0.034,0.1,0.354,0.031,0,0.485,0.08255,-0.117188,1.11862,-0.322113,0.078278,0.701,normal,0.167,0.063,0.239,0.354,0.561,
62,0.039,0.045,0.046,0.018,0.029,0.049,0.145,0.055,0.031,0,0.231,0.077667,-0.129089,1.09482,-0.259094,0.217438,0.826,stroke,0.13,0.046,0.287,0.055,0.327
49,0.031,0.057,0.024,0.001,0.059,0.031,0.182,0.278,0.048,0,0.508,0.097961,0.058136,0.444946,-0.808563,0.66925,0.927,stroke,0.112,0.024,0.297,0.278,0.599
79,0.035,0.057,0.038,0.001,0.059,0.025,0.031,0.136,0.058,0,0.225,0.077972,-0.060577,0.445709,-0.202179,0.158691,0.721,stroke,0.13,0.038,0.154,0.136,0.31
22,0.032,0.035,0.14,0.017,0.029,0.028,0.064,0.036,0.148,0,0.248,0.078278,-0.085297,1.716,-0.64621,0.322571,1.144,stroke,0.207,0.14,0.278,0.036,0.322
50,0.051,0.057,0.036,0.001,0.06,0.029,0.071,0.133,0.031,0,0.235,0.105286,-0.050964,0.69458,-0.47348,0.110168,0.946,stroke,0.144,0.036,0.197,0.133,0.325
0.045,0.077,0.046,0.016,0.022,0.058,0.026,0.234,0.037,0,0.297,0.037231,-0.117035,0.468445,-0.263367,0.078583,0.904,normal,0.168,0.046,0.168,0.234,0.393,
10,0.034,0.032,0.101,0.001,0.034,0.032,0.095,0.044,0.066,0.089,0.205,0.036621,-0.01709,1.14395,-0.406342,0.178528,0.704,stroke,0.167,0.101,0.263,0.044,0.361
61,0.059,0.062,0.054,0.002,0.059,0.026,0.041,0.15,0.034,0,0.225,0.070953,-0.024872,0.407715,-0.422668,0.053864,0.941,stroke,0.175,0.054,0.182,0.15,0.312
67,0.039,0.05,0.027,0.001,0.059,0.026,0.138,0.011,0.105,0,0.254,0.097961,-0.031281,1.25183,-0.515137,0.259247,0.892,stroke,0.116,0.027,0.251,0.011,0.34
40,0.032,0.036,0.157,0.013,0.03,0.024,0.036,0.007,0.034,0,0.077,0.06134,-0.038452,0.762787,-0.634613,0.149231,1.084,stroke,0.225,0.157,0.26,0.007,0.144
12,0.031,0.045,0.058,0.004,0.055,0.03,0.06,0.104,0.06,0,0.224,0.080261,-0.034332,1.28937,-0.657501,0.171204,1.033,stroke,0.134,0.058,0.207,0.104,0.313
0.041,0.031,0.085,0.007,0.027,0.025,0.013,0.249,0.031,0,0.293,0.096588,-0.061035,0.977936,-0.361023,0.104675,0.926,normal,0.157,0.085,0.157,0.249,0.352,
0.053,0.022,0.001,0.06,0.022,0.04,0.104,0.041,0,0.185,0.070496,-0.05661,0.558929,-0.337524,0.032349,0.735,normal,0.123,0.022,0.145,0.104,0.268,,
0.031,0.057,0.031,0.003,0.059,0.03,0.056,0.07,0.095,0,0.221,0.117493,-0.046081,1.30463,-0.495911,0.16861,0.834,normal,0.119,0.031,0.179,0.07,0.313,
0.031,0.076,0.19,0.008,0.054,0.02,0.02,0.183,0.031,0,0.234,0.326996,-0.07309,0.800171,-0.422516,0.430145,0.575,normal,0.297,0.19,0.292,0.183,0.316,
0.031,0.031,0.062,0.002,0.059,0.032,0.046,0.177,0.044,0,0.267,0.08255,-0.037537,0.908051,-0.337372,0.178528,1.183,normal,0.124,0.062,0.201,0.177,0.36,
30,0.03,0.03,0.231,0.001,0.033,0.042,0.04,0.123,0.057,0,0.22,0.097198,-0.02945,0.442352,-0.207672,0.163269,1.001,stroke,0.291,0.231,0.347,0.123,0.296
0.034,0.044,0.054,0.008,0.02,0.024,0.059,0.076,0.086,0,0.221,0.127106,-0.059967,0.833588,-0.591583,0.349884,0.863,normal,0.132,0.054,0.165,0.076,0.273,
0.063,0.051,0.041,0.001,0.059,0.026,0.002,0.117,0.129,0,0.248,0.074184,-0.032372,1.31384,-0.51983,0.214641,1.1,normal,0.155,0.041,0.129,0.117,0.334,
0.031,0.049,0.029,0.001,0.059,0.03,0.153,0.023,0.083,0,0.259,0.063629,-0.041656,0.896149,-0.410614,0.126801,0.975,normal,0.109,0.029,0.272,0.023,0.349,
0.066,0.08,0.112,0.016,0.028,0.031,0.046,0.051,0.073,0,0.17,0.042303,-0.078241,1.01602,-0.433311,0.127431,0.669,normal,0.258,0.112,0.233,0.051,0.245,
0.031,0.037,0.076,0.003,0.048,0.024,0.06,0.162,0.031,0,0.253,0.046234,-0.019531,0.536041,-0.574188,0.077972,0.835,normal,0.144,0.076,0.211,0.162,0.328,
45,0.031,0.046,0.058,0.001,0.058,0.027,0.095,0.117,0.032,0,0.244,0.070801,-0.004425,1.02829,-0.617523,0.110168,0.991,stroke,0.135,0.058,0.239,0.117,0.33
0.059,0.086,0.001,0.059,0.023,0.058,0.206,0.032,0,0.296,0.066376,-0.021667,0.731354,-0.480652,0.063782,0.89,normal,0.183,0.086,0.227,0.206,0.379,,
0.066,0.051,0.001,0.06,0.025,0.061,0.116,0.074,0,0.251,0.090485,-0.044098,1.41754,-1.0257,0.141907,1.004,normal,0.163,0.051,0.198,0.116,0.337,,
36,0.034,0.054,0.064,0.001,0.059,0.039,0.001,0.152,0.038,0.097,0.191,0.078125,-0.024109,0.322876,-0.285645,0.176239,0.874,stroke,0.152,0.064,0.164,0.152,0.387
64,0.033,0.032,0.187,0.003,0.054,0.017,0.001,0.174,0.031,0,0.206,0.013733,-0.004578,0.02594,-0.018311,0.013733,0.791,stroke,0.252,0.187,0.262,0.174,0.28
0.054,0.06,0.04,0.012,0.032,0.032,0.199,,0.199,0,0.236,0.139618,-0.102081,1.28723,-0.54306,0.303497,0.935,normal,0.154,0.04,0.315,,,
0.044,0.053,0.031,0.001,0.06,0.026,0.061,0.135,0.094,0,0.29,0.058594,-0.031738,1.27579,-0.793457,0.212708,1.071,normal,0.128,0.031,0.179,0.135,0.377,
9,0.043,0.06,0.008,0.007,0.058,0.028,0.072,0.134,0.031,0,0.237,0.087128,-0.085144,1.48331,-0.799408,0.105133,1.101,stroke,0.111,0.008,0.173,0.134,0.33
0.031,0.046,0.039,0.006,0.055,0.024,0.049,0.169,0.031,0,0.249,0.110016,-0.046081,0.489655,-0.466919,0.080719,0.897,normal,0.116,0.039,0.173,0.169,0.334,
0.072,0.027,0.001,0.059,0.032,0.006,0.346,0.033,0,0.385,0.095215,-0.056458,1.11008,-0.542755,0.046234,0.804,normal,0.154,0.027,0.125,0.346,0.477,,
0.087,0.043,0.001,0.058,0.035,0.2,,0.2,0,0.23,0.102843,-0.029175,1.12526,-0.31524,0.249403,0.914,normal,0.177,0.043,0.337,,,,
27,0.035,0.052,0.073,0.001,0.06,0.042,0.001,0.242,0.037,0,0.28,0.046692,-0.033875,0.894165,-0.173187,0.066223,0.933,stroke,0.16,0.073,0.177,0.242,0.383
0.03,0.067,0.01,0.03,0.025,0.026,0.198,0.03,0,0.254,0.093231,-0.127716,2.17026,-0.814056,0.205231,0.824,normal,0.127,0.067,0.158,0.198,0.319,,
41,0.039,0.043,0.043,0.001,0.06,0.025,0.035,0.055,0.143,0,0.233,0.096627,-0.01801,1.28949,-0.568136,0.260351,0.807,stroke,0.125,0.043,0.164,0.055,0.319
0.031,0.069,0.022,0.025,0.029,0.044,0.183,0.031,0,0.258,0.124664,-0.097046,1.10718,-0.544739,0.129547,0.888,normal,0.131,0.069,0.189,0.183,0.334,,
0.031,0.031,0.068,0.01,0.029,0.036,0.011,0.167,0.031,0,0.209,0.103455,-0.123596,2.24915,-0.628204,0.268707,0.873,normal,0.13,0.068,0.154,0.167,0.284,
0.036,0.059,0.039,0.017,0.03,0.058,0.184,,0.184,0,0.184,0.095215,-0.143585,1.15479,-0.242004,0.175934,0.84,normal,0.134,0.039,0.328,,,
0.033,0.058,0.046,0.001,0.059,0.029,0.026,0.199,0.032,0,0.257,0.056305,-0.02182,0.579071,-0.218811,0.088196,1.007,normal,0.137,0.046,0.161,0.199,0.346,
0.056,0.04,0.122,0.001,0.046,0.033,0.036,0.137,0.04,0,0.213,0.089111,-0.002136,0.696716,-0.435333,0.067444,1.048,normal,0.218,0.122,0.238,0.137,0.293,
0.045,0.061,0.007,0.005,0.049,0.026,0.038,0.155,0.042,0,0.235,0.11734,-0.093536,0.830231,-0.534363,0.088959,0.87,normal,0.113,0.007,0.125,0.155,0.315,
0.031,0.031,0.07,0.008,0.055,0.027,0.028,0.184,0.031,0,0.243,0.072327,-0.024109,0.890198,-0.422363,0.300751,0.898,normal,0.132,0.07,0.188,0.184,0.333,
0.031,0.031,0.035,0.009,0.044,0.055,0.01,0.172,0.043,0,0.225,0.083008,-0.04776,1.47461,-0.424957,0.327148,1.052,normal,0.097,0.035,0.153,0.172,0.333,
0.043,0.086,0.001,0.027,0.034,0.028,0.149,0.031,0,0.208,0.097809,-0.068359,1.4296,-0.454407,0.210114,0.863,normal,0.16,0.086,0.176,0.149,0.27,,
0.031,0.04,0.089,0.007,0.029,0.042,0.027,0.133,0.03,0,0.19,0.053711,-0.060425,1.02127,-0.322723,0.08728,0.783,stroke,0.16,0.089,0.194,0.133,0.268,
0.063,0.039,0.073,0.01,0.028,0.027,0.191,0.001,0.06,0,0.252,0.124817,-0.053558,1.69022,-0.589142,0.176086,1.022,normal,0.175,0.073,0.329,0.001,0.317,
43,0.031,0.053,0.09,0.001,0.059,0.022,0.076,0.237,0.041,0,0.354,0.032501,0.000153,1.58325,-0.812988,0.11261,0.845,stroke,0.174,0.09,0.248,0.237,0.436
51,0.031,0.041,0.259,0.012,0.027,0.027,0.155,0.356,0.031,0,0.542,0.055237,-0.093384,1.6243,-0.645447,1.60751,0.566,stroke,0.331,0.259,0.48,0.356,0.608
0.036,0.044,0.052,0.001,0.058,0.027,0.083,0.08,0.054,0,0.217,0.078278,-0.014191,0.877838,-0.445709,0.107727,0.866,stroke,0.132,0.052,0.221,0.08,0.303,
0.041,0.039,0.074,0.005,0.045,0.024,0.034,0.139,0.04,0,0.213,0.051422,-0.002289,0.309601,-0.180206,0.115051,0.886,normal,0.154,0.074,0.182,0.139,0.287,
0.031,0.071,0.112,0.02,0.053,0.056,0.002,0.097,0.067,0,0.166,0.112305,-0.070496,0.723419,-0.232086,0.129395,0.507,normal,0.214,0.112,0.243,0.097,0.295,
14,0.03,0.048,0.102,0.001,0.037,0.03,0.109,0.001,0.107,0,0.217,0.094757,-0.024261,1.06476,-0.329437,0.249481,1.016,stroke,0.18,0.102,0.279,0.001,0.285
18,0.044,0.06,0.052,0.001,0.032,0.03,0.046,0.138,0.031,0,0.215,0.058594,-0.07309,0.407104,-0.544434,0.085602,0.747,stroke,0.156,0.052,0.161,0.138,0.278
14,0.035,0.061,0.044,0.023,0.035,0.037,0.104,0.041,0.124,0,0.269,0.066376,-0.217743,1.37451,-0.437469,0.134583,1.078,stroke,0.14,0.044,0.243,0.041,0.364
0.053,0.059,0.043,0.013,0.028,0.054,0.054,,0.057,0,0.057,0.068665,-0.074921,0.731964,-0.520325,0.176239,0.863,normal,0.155,0.043,0.192,,,
0.042,0.069,0.053,0.001,0.052,0.023,0.073,0.148,0.049,0,0.27,0.090485,-0.026703,1.35498,-0.926361,0.176239,1.024,normal,0.164,0.053,0.202,0.148,0.346,
0.03,0.03,0.084,0.012,0.028,0.04,0.104,0.001,0.049,0,0.154,0.068512,-0.114136,1.49384,-0.514374,0.102539,0.703,stroke,0.144,0.084,0.268,0.001,0.234,
0.034,0.032,0.007,0.005,0.029,0.029,0.036,0.228,0.035,0,0.299,0.025024,0.007629,0.757141,-0.549774,0.066071,0.989,stroke,0.073,0.007,0.106,0.228,0.362,
29,0.034,0.051,0.038,0.001,0.059,0.034,0.083,0.046,0.095,0,0.224,0.102539,-0.041351,1.19446,-0.534515,0.187988,0.939,stroke,0.123,0.038,0.215,0.046,0.318
0.05,0.065,0.084,0.001,0.058,0.025,0.124,0.001,0.11,0,0.235,0.122223,-0.004578,1.28128,-0.476227,0.408173,0.973,normal,0.199,0.084,0.292,0.001,0.319,
5,0.041,0.073,0.088,0.002,0.032,0.029,0.029,0.188,0.031,0,0.248,0.04425,-0.039825,0.700531,-0.326996,0.10788,0.717,stroke,0.202,0.088,0.18,0.188,0.311
32,0.067,0.05,0.025,0.001,0.06,0.026,0.09,0.001,0.161,0,0.252,0.13443,-0.023041,1.31226,-0.534821,0.2742,0.897,stroke,0.142,0.025,0.202,0.001,0.339
0.056,0.046,0.054,0.001,0.058,0.031,0.059,0.139,0.046,0,0.244,0.114441,-0.048828,0.827789,-0.64743,0.185699,0.951,normal,0.156,0.054,0.203,0.139,0.334,
0.044,0.057,0.008,0.03,0.027,0.108,0.065,0.041,0,0.214,0.080719,-0.050964,1.18042,-0.324707,0.073395,1.164,normal,0.132,0.057,0.23,0.065,0.279,,
26,0.063,0.06,0.052,0.001,0.06,0.026,0.039,0.165,0.031,0,0.235,0.070801,-0.034027,0.407104,-0.415039,0.058594,0.828,stroke,0.175,0.052,0.178,0.165,0.322
9,0.031,0.055,0.097,0.012,0.03,0.03,0.114,0.033,0.091,0,0.238,0.051422,-0.045776,1.42746,-0.542297,0.112457,0.803,stroke,0.183,0.097,0.283,0.033,0.31
23,0.059,0.056,0.02,0.002,0.06,0.033,0.026,0.121,0.055,0,0.202,0.073547,-0.048675,0.662842,-0.273285,0.04425,0.837,stroke,0.135,0.02,0.141,0.121,0.297
13,0.041,0.03,0.123,0.027,0.022,0.046,0.001,0.181,0.037,0,0.219,0.063477,-0.141296,0.857544,-0.14389,0.10025,0.779,stroke,0.194,0.123,0.219,0.181,0.314
21,0.06,0.031,0.029,0.001,0.059,0.024,0.043,0.357,0.043,0,0.443,0.032349,0.001068,0.723267,-0.416412,0.153046,0.586,stroke,0.12,0.029,0.156,0.357,0.527
6,0.041,0.031,0.145,0.014,0.03,0.025,0.036,0.006,0.034,0,0.076,0.066071,-0.03891,0.775757,-0.641479,0.147095,1.082,stroke,0.217,0.145,0.25,0.006,0.145
48,0.042,0.045,0.01,0.001,0.06,0.03,0.105,0.052,0.047,0,0.204,0.117645,-0.072937,1.13281,-0.682983,0.139465,0.739,stroke,0.097,0.01,0.206,0.052,0.295
0.03,0.031,0.172,0.008,0.039,0.045,0.008,0.203,0.03,0,0.241,0.075226,-0.091858,1.31851,-0.392151,0.230255,1.079,normal,0.233,0.172,0.272,0.203,0.333,
95,0.031,0.057,0.055,0.001,0.054,0.033,0.141,0.001,0.063,0.095,0.205,0.032349,-0.016785,0.955963,-0.298157,0.169067,0.697,stroke,0.143,0.055,0.284,0.001,0.388
81,0.037,0.046,0.014,0.001,0.059,0.06,0.019,0.116,0.06,0,0.195,0.115051,-0.050964,1.14944,-0.20813,0.11261,0.739,stroke,0.097,0.014,0.153,0.116,0.315
0.031,0.038,0.031,0.002,0.033,0.021,0.045,0.224,0.054,0,0.323,0.027313,-0.034332,0.224915,-0.643463,0.127106,0.964,normal,0.1,0.031,0.132,0.224,0.379,
0.031,0.055,0.056,0.018,0.029,0.038,0.019,0.001,0.192,0,0.212,0.090485,-0.131531,1.21216,-0.27832,0.215149,1.034,normal,0.142,0.056,0.16,0.001,0.297,
18,0.036,0.061,0.044,0.002,0.06,0.032,0.071,0.01,0.139,0,0.22,0.048981,-0.016632,0.991974,-0.309906,0.158997,0.708,stroke,0.141,0.044,0.209,0.01,0.314
112,0.057,0.051,0.049,0.001,0.06,0.026,0.093,0.329,0.049,0,0.471,0.124817,-0.082703,0.706177,-0.368805,0.124817,0.663,stroke,0.157,0.049,0.229,0.329,0.558
27,0.053,0.053,0.048,0.001,0.059,0.025,0.07,0.154,0.031,0,0.255,0.131226,-0.075226,0.59906,-0.333557,0.099945,0.683,stroke,0.154,0.048,0.203,0.154,0.34
12,0.033,0.03,0.085,0.002,0.036,0.033,0.012,0.019,0.2,0,0.231,0.083313,-0.02182,1.29684,-0.326385,0.31311,1.213,stroke,0.148,0.085,0.168,0.019,0.302
0.067,0.062,0.021,0.001,0.059,0.033,0.011,0.112,0.105,0,0.228,0.109247,-0.044605,1.31017,-0.363518,0.240111,0.841,normal,0.15,0.021,0.125,0.112,0.321,
0.03,0.075,0.063,0.014,0.026,0.032,0.071,0.136,0.031,0,0.238,0.073242,-0.117188,1.06796,-0.309753,0.037384,0.698,normal,0.168,0.063,0.206,0.136,0.31,
62,0.039,0.045,0.046,0.018,0.029,0.049,0.145,0.055,0.031,0,0.231,0.077667,-0.129089,1.09482,-0.259094,0.217438,0.826,stroke,0.13,0.046,0.287,0.055,0.327
49,0.031,0.057,0.024,0.001,0.059,0.031,0.182,0.278,0.048,0,0.508,0.097961,0.058136,0.444946,-0.808563,0.66925,0.927,stroke,0.112,0.024,0.297,0.278,0.599
79,0.035,0.057,0.038,0.001,0.059,0.025,0.031,0.136,0.058,0,0.225,0.077972,-0.060577,0.445709,-0.202179,0.158691,0.721,stroke,0.13,0.038,0.154,0.136,0.31
22,0.032,0.035,0.14,0.017,0.029,0.028,0.064,0.036,0.148,0,0.248,0.078278,-0.085297,1.716,-0.64621,0.322571,1.144,stroke,0.207,0.14,0.278,0.036,0.322
50,0.051,0.057,0.036,0.001,0.06,0.029,0.071,0.133,0.031,0,0.235,0.105286,-0.050964,0.69458,-0.47348,0.110168,0.946,stroke,0.144,0.036,0.197,0.133,0.325
0.042,0.032,0.094,0.017,0.021,0.059,0.027,0.214,0.047,0,0.288,0.04425,-0.097504,0.434265,-0.246124,0.088654,0.911,normal,0.168,0.094,0.218,0.214,0.385,
9,0.031,0.065,0.039,0.003,0.059,0.032,0.045,0.082,0.088,0.072,0.215,0.041656,-0.036163,1.10748,-0.397491,0.178375,0.702,stroke,0.135,0.039,0.178,0.082,0.381
61,0.059,0.062,0.054,0.002,0.059,0.026,0.041,0.15,0.034,0,0.225,0.070953,-0.024872,0.407715,-0.422668,0.053864,0.941,stroke,0.175,0.054,0.182,0.15,0.312
67,0.039,0.05,0.027,0.001,0.059,0.026,0.138,0.011,0.105,0,0.254,0.097961,-0.031281,1.25183,-0.515137,0.259247,0.892,stroke,0.116,0.027,0.251,0.011,0.34
40,0.032,0.036,0.157,0.013,0.03,0.024,0.036,0.007,0.034,0,0.077,0.06134,-0.038452,0.762787,-0.634613,0.149231,1.084,stroke,0.225,0.157,0.26,0.007,0.144
11,0.031,0.041,0.065,0.001,0.055,0.029,0.079,0.1,0.046,0,0.225,0.085449,-0.031586,1.25839,-0.630493,0.164032,1.034,stroke,0.137,0.065,0.229,0.1,0.31
0.031,0.041,0.074,0.01,0.03,0.023,0.022,0.235,0.031,0,0.288,0.095062,-0.082703,0.987549,-0.307007,0.117493,0.88,normal,0.146,0.074,0.159,0.235,0.351,
0.055,0.022,0.001,0.06,0.023,0.038,0.12,0.031,0,0.189,0.075684,-0.060577,0.570679,-0.331879,0.036926,0.725,normal,0.124,0.022,0.144,0.12,0.273,,
0.031,0.062,0.031,0.001,0.057,0.031,0.038,0.07,0.111,0,0.219,0.116272,-0.043793,1.23215,-0.459747,0.180817,0.847,normal,0.124,0.031,0.158,0.07,0.308,
0.046,0.035,0.001,0.059,0.02,0.044,0.119,0.047,0,0.21,0.129089,-0.069428,0.747528,-0.777893,0.168304,0.694,normal,0.136,0.035,0.159,0.119,0.29,,
0.04,0.031,0.062,0.001,0.059,0.031,0.088,0.149,0.032,0,0.269,0.084686,-0.033569,0.942841,-0.334778,0.183105,1.166,normal,0.133,0.062,0.241,0.149,0.36,
29,0.034,0.03,0.039,0.002,0.058,0.04,0.001,0.149,0.078,0,0.228,0.085144,-0.031738,0.400391,-0.136566,0.172272,0.972,stroke,0.103,0.039,0.14,0.149,0.328
0.038,0.05,0.046,0.009,0.022,0.022,0.059,0.094,0.062,0,0.215,0.136871,-0.060272,0.770721,-0.557404,0.3302,0.864,normal,0.134,0.046,0.158,0.094,0.268,
0.033,0.031,0.2,0.001,0.058,0.033,0.2,,0.2,0,0.244,0.045944,-0.098537,1.22714,-0.466962,0.209261,1.117,normal,0.264,0.2,0.492,,,
0.034,0.048,0.028,0.001,0.059,0.029,0.139,0.048,0.067,0,0.254,0.063477,-0.041962,0.919647,-0.420227,0.136719,0.971,normal,0.11,0.028,0.256,0.048,0.343,
0.055,0.06,0.029,0.001,0.048,0.032,0.13,0.069,0.031,0,0.23,0.074221,-0.047996,1.13957,-0.461804,0.099921,0.842,normal,0.144,0.029,0.24,0.069,0.311,
0.033,0.06,0.052,0.001,0.059,0.025,0.056,0.16,0.031,0,0.247,0.039673,-0.023956,0.560913,-0.649719,0.085297,0.835,normal,0.145,0.052,0.193,0.16,0.332,
45,0.031,0.046,0.058,0.001,0.058,0.027,0.095,0.117,0.032,0,0.244,0.070801,-0.004425,1.02829,-0.617523,0.110168,0.991,stroke,0.135,0.058,0.239,0.117,0.33
0.057,0.088,0.001,0.06,0.022,0.045,0.226,0.031,0,0.302,0.06134,-0.028687,0.762634,-0.483093,0.06134,0.887,normal,0.184,0.088,0.216,0.226,0.385,,
0.069,0.049,0.001,0.06,0.026,0.058,0.158,0.031,0,0.247,0.090332,-0.038452,1.45126,-1.02173,0.132141,0.963,normal,0.16,0.049,0.194,0.158,0.334,,
36,0.034,0.054,0.064,0.001,0.059,0.039,0.001,0.152,0.038,0.097,0.191,0.078125,-0.024109,0.322876,-0.285645,0.176239,0.874,stroke,0.152,0.064,0.164,0.152,0.387
64,0.033,0.032,0.187,0.003,0.054,0.017,0.001,0.174,0.031,0,0.206,0.013733,-0.004578,0.02594,-0.018311,0.013733,0.791,stroke,0.252,0.187,0.262,0.174,0.28
0.048,0.064,0.04,0.011,0.031,0.033,0.199,,0.199,0,0.231,0.144196,-0.104523,1.31912,-0.561676,0.300903,0.914,normal,0.152,0.04,0.314,,,
0.03,0.043,0.036,0.001,0.06,0.026,0.078,0.125,0.091,0,0.294,0.063782,-0.031738,1.25778,-0.717773,0.212555,1.103,normal,0.109,0.036,0.201,0.125,0.381,
9,0.043,0.06,0.008,0.007,0.058,0.028,0.072,0.134,0.031,0,0.237,0.087128,-0.085144,1.48331,-0.799408,0.105133,1.101,stroke,0.111,0.008,0.173,0.134,0.33
0.031,0.046,0.042,0.001,0.059,0.024,0.047,0.167,0.031,0,0.245,0.102692,-0.063324,0.406952,-0.475311,0.080719,0.916,normal,0.119,0.042,0.173,0.167,0.329,
0.036,0.06,0.001,0.059,0.035,0.062,0.278,0.044,0,0.384,0.102539,-0.05661,1.14212,-0.554962,0.05127,0.788,normal,0.155,0.06,0.217,0.278,0.479,,
0.068,0.059,0.001,0.059,0.034,0.2,,0.2,0,0.23,0.106606,-0.02681,1.22636,-0.322589,0.252147,0.886,normal,0.18,0.059,0.353,,,,
27,0.035,0.052,0.073,0.001,0.06,0.042,0.001,0.242,0.037,0,0.28,0.046692,-0.033875,0.894165,-0.173187,0.066223,0.933,stroke,0.16,0.073,0.177,0.242,0.383
0.031,0.069,0.012,0.035,0.027,0.029,0.183,0.031,0,0.243,0.089874,-0.087891,2.04681,-0.779114,0.185089,0.838,normal,0.131,0.069,0.172,0.183,0.317,,
41,0.039,0.043,0.043,0.001,0.06,0.025,0.035,0.055,0.143,0,0.233,0.096627,-0.01801,1.28949,-0.568136,0.260351,0.807,stroke,0.125,0.043,0.164,0.055,0.319
0.031,0.069,0.016,0.027,0.028,0.031,0.168,0.031,0,0.23,0.110016,-0.085144,1.01089,-0.524292,0.127411,0.895,normal,0.131,0.069,0.171,0.168,0.301,,
0.031,0.031,0.066,0.009,0.027,0.027,0.01,0.183,0.031,0,0.224,0.1091,-0.087738,2.32513,-0.66452,0.276031,0.867,normal,0.128,0.066,0.139,0.183,0.287,
0.031,0.047,0.053,0.017,0.03,0.052,0.07,0.001,0.124,0,0.195,0.10025,-0.136261,1.03455,-0.210114,0.195618,0.848,normal,0.131,0.053,0.222,0.001,0.294,
0.041,0.05,0.053,0.002,0.059,0.032,0.021,0.194,0.031,0,0.246,0.063782,-0.016632,0.59494,-0.202637,0.09552,0.974,normal,0.144,0.053,0.167,0.194,0.339,
0.052,0.044,0.106,0.001,0.059,0.032,0.036,0.131,0.059,0,0.226,0.086365,-0.015411,0.70755,-0.482025,0.093994,1.045,normal,0.202,0.106,0.234,0.131,0.318,
0.056,0.062,,0.046,0.059,0.026,0.057,0.139,0.042,0,0.238,0.10025,-0.102081,0.859985,-0.558624,0.080719,0.869,normal,,,,0.139,0.369,
0.031,0.031,0.069,0.009,0.057,0.025,0.027,0.185,0.031,0,0.243,0.08255,-0.039673,0.937653,-0.42984,0.310059,0.893,normal,0.131,0.069,0.187,0.185,0.334,
0.031,0.031,0.036,0.008,0.059,0.058,0.009,0.172,0.043,0,0.224,0.084991,-0.052948,1.49872,-0.420532,0.344086,1.068,normal,0.098,0.036,0.17,0.172,0.349,
0.043,0.072,0.011,0.032,0.034,0.025,0.138,0.044,0,0.207,0.102692,-0.102539,1.36841,-0.413971,0.200348,0.893,normal,0.146,0.072,0.174,0.138,0.284,,
0.031,0.04,0.09,0.008,0.028,0.043,0.008,0.122,0.041,0,0.171,0.058441,-0.056152,1.03699,-0.319672,0.092316,0.767,stroke,0.161,0.09,0.177,0.122,0.25,
0.06,0.066,0.025,0.001,0.059,0.027,0.2,,0.2,0,0.248,0.122223,-0.048675,1.71631,-0.590057,0.175934,1.009,normal,0.151,0.025,0.312,,,
42,0.044,0.031,0.201,0.006,0.036,0.022,0.107,0.197,0.034,0,0.338,0.056,-0.014343,1.64108,-0.794373,0.078278,0.664,stroke,0.276,0.201,0.372,0.197,0.402
51,0.031,0.041,0.259,0.012,0.027,0.027,0.155,0.356,0.031,0,0.542,0.055237,-0.093384,1.6243,-0.645447,1.60751,0.566,stroke,0.331,0.259,0.48,0.356,0.608
0.036,0.044,0.052,0.001,0.058,0.027,0.083,0.08,0.054,0,0.217,0.078278,-0.014191,0.877838,-0.445709,0.107727,0.866,stroke,0.132,0.052,0.221,0.08,0.303,
0.039,0.035,0.065,0.002,0.059,0.025,0.032,0.13,0.058,0,0.22,0.053711,-0.001984,0.375671,-0.180511,0.110168,0.888,normal,0.139,0.065,0.183,0.13,0.306,
0.063,0.083,0.151,0.015,0.028,0.048,0.063,0.028,0.094,0,0.185,0.10025,-0.088806,0.710754,-0.254211,0.142059,0.5,normal,0.297,0.151,0.305,0.028,0.276,
15,0.031,0.04,0.095,0.011,0.037,0.031,0.005,0.123,0.08,0,0.208,0.088043,-0.021515,1.0762,-0.307922,0.256653,1.002,stroke,0.166,0.095,0.179,0.123,0.287
19,0.033,0.064,0.051,0.001,0.031,0.03,0.043,,0.047,0,0.047,0.066223,-0.068207,0.397949,-0.561829,0.080872,0.744,stroke,0.148,0.051,0.156,,
