cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
0.03,0.065,0.099,0.006,0.033,0.023,0.044,0.167,0.033,0,0.244,0.039673,-0.021667,0.647125,-0.502167,0.092926,0.863,normal,0.194,0.099,0.205,0.167,0.306,
0.041,0.056,0.041,0.001,0.06,0.026,0.054,0.136,0.044,0,0.234,0.105133,-0.036163,0.732727,-0.510406,0.154114,0.906,normal,0.138,0.041,0.182,0.136,0.321,
71,0.044,0.043,0.047,0.017,0.031,0.048,0.109,0.018,0.105,0,0.232,0.080719,-0.133209,1.15692,-0.288239,0.229797,0.81,stroke,0.134,0.047,0.252,0.018,0.328
59,0.031,0.061,0.015,0.001,0.059,0.032,0.104,0.355,0.045,0,0.504,0.107574,0.042877,0.478821,-0.850525,0.348511,0.929,stroke,0.107,0.015,0.211,0.355,0.596
0.037,0.065,0.066,0.016,0.025,0.048,0.076,0.055,0.082,0,0.213,0.07843,-0.13382,0.940857,-0.197601,0.139313,0.799,normal,0.168,0.066,0.231,0.055,0.302,
32,0.057,0.071,0.074,0.018,0.029,0.028,0.092,0.042,0.114,0,0.248,0.092773,-0.084991,1.69769,-0.658264,0.322723,1.127,stroke,0.202,0.074,0.241,0.042,0.323
60,0.064,0.037,0.059,0.001,0.06,0.032,0.045,0.146,0.033,0,0.224,0.10025,-0.04776,0.6987,-0.427246,0.110321,0.953,stroke,0.16,0.059,0.197,0.146,0.317
0.05,0.03,0.096,0.016,0.021,0.059,0.026,0.243,0.031,0,0.3,0.046539,-0.087433,0.431671,-0.23407,0.081024,0.924,normal,0.176,0.096,0.218,0.243,0.396,
55,0.031,0.048,0.056,0.001,0.058,0.027,0.082,0.117,0.031,0,0.23,0.066071,-0.011902,0.991669,-0.62088,0.105286,0.988,stroke,0.135,0.056,0.224,0.117,0.316
19,0.03,0.031,0.078,0.001,0.06,0.033,0.109,0.001,0.112,0.076,0.222,0.032501,-0.031281,0.932922,-0.297699,0.156555,0.709,stroke,0.139,0.078,0.281,0.001,0.392
